A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
0.039528,-1.207312,-0.013176,,,
0.036112,-1.204872,-0.013176,,,
0.033184,-1.203408,-0.008296,,,
0.029768,-1.204872,-0.010736,,,
0.028792,-1.210240,-0.015616,,,
0.036112,-1.210728,-0.012200,,,
0.039040,-1.219512,-0.010736,,,
0.037088,-1.219512,-0.011224,,,
0.035136,-1.216096,-0.008784,,,
0.033184,-1.218048,-0.013176,,,
0.039528,-1.214144,-0.016592,,,
0.033672,-1.210240,-0.015616,,,
0.029280,-1.208288,-0.015128,,,
0.029280,-1.204384,-0.019032,,,
0.019520,-1.195600,-0.016104,,,
0.020496,-1.188768,-0.011224,,,
0.018056,-1.190720,-0.013664,,,
0.018056,-1.183400,-0.009272,,,
0.031720,-1.179496,-0.007320,,,
0.029280,-1.185840,-0.006344,,,
0.037088,-1.189256,-0.005856,,,
0.048800,-1.191208,-0.011224,,,
0.053192,-1.191696,-0.003416,,,
0.055144,-1.190720,-0.001464,,,
0.053680,-1.181936,-0.005368,,,
0.056120,-1.170224,0.008784,,,
0.060024,-1.163392,0.021960,,,
0.073688,-1.163880,0.029280,,,
0.076616,-1.162416,0.036112,,,
0.068808,-1.158512,0.036112,,,
0.067344,-1.146800,0.041480,,,
0.062952,-1.132160,0.044896,,,
0.062952,-1.119960,0.051240,,,
0.065392,-1.112152,0.054168,,,
0.071248,-1.118008,0.060024,,,
0.077592,-1.113616,0.064416,,,
0.083936,-1.113616,0.061000,,,
0.092232,-1.110200,0.063440,,,
0.086864,-1.101416,0.068320,,,
0.087352,-1.095072,0.072224,,,
0.080520,-1.086288,0.066856,,,
0.084912,-1.075552,0.067832,,,
0.096136,-1.077504,0.067344,,,
0.090768,-1.080920,0.064904,,,
0.096136,-1.066280,0.074176,,,
0.102968,-1.058472,0.078568,,,
0.102968,-1.056520,0.075640,,,
0.102480,-1.046760,0.076616,,,
0.105896,-1.033096,0.083936,,,
0.116144,-1.020896,0.084424,,,
0.120048,-1.010648,0.091744,,,
0.122488,-0.998448,0.108824,,,
0.123952,-0.993080,0.105896,,,
0.122488,-0.992592,0.102968,,,
0.124928,-0.990640,0.109800,,,
0.129320,-0.995520,0.099552,,,
0.136640,-0.998936,0.097600,,,
0.143960,-1.001864,0.097112,,,
0.145424,-1.003816,0.085400,,,
0.147864,-1.012112,0.080520,,,
0.150304,-1.025288,0.070272,,,
0.147864,-1.027240,0.067344,,,
0.154696,-1.026264,0.068320,,,
0.152256,-1.035048,0.061000,,,
0.162504,-1.031632,0.064416,,,
0.177144,-1.027728,0.075152,,,
0.169824,-1.025776,0.080520,,,
0.172264,-1.014064,0.079544,,,
0.169336,-1.012600,0.083448,,,
0.162992,-1.005768,0.095160,,,
0.169336,-0.995032,0.101504,,,
0.170312,-0.996984,0.102480,,,
0.172264,-1.000400,0.110776,,,
0.183488,-0.996496,0.110776,,,
0.185928,-0.997472,0.116144,,,
0.193736,-1.005280,0.112728,,,
0.203496,-1.011136,0.098576,,,
0.200080,-1.011624,0.104432,,,
0.199104,-1.015040,0.103944,,,
0.208376,-1.024800,0.111264,,,
0.221064,-1.026752,0.106384,,,
0.216672,-1.020408,0.101992,,,
0.223992,-1.021872,0.116144,,,
0.233752,-1.028216,0.114192,,,
0.228384,-1.037000,0.110288,,,
0.232776,-1.043344,0.117608,,,
0.233752,-1.043344,0.115656,,,
0.236680,-1.044808,0.112728,,,
0.233264,-1.051640,0.114192,,,
0.238632,-1.048224,0.119072,,,
0.244976,-1.049688,0.114680,,,
0.232776,-1.059936,0.112240,,,
0.237168,-1.060424,0.120536,,,
0.246440,-1.070184,0.123464,,,
0.247416,-1.074088,0.126392,,,
0.243512,-1.079944,0.130296,,,
0.235704,-1.082384,0.126880,,,
0.230824,-1.076040,0.126880,,,
0.226920,-1.078968,0.137616,,,
0.226432,-1.079456,0.139568,,,
0.224968,-1.088728,0.145424,,,
0.219600,-1.097512,0.154696,,,
0.221552,-1.099952,0.155184,,,
0.212768,-1.093608,0.152256,,,
0.201544,-1.086776,0.153232,,,
0.201544,-1.082872,0.159576,,,
0.203008,-1.077016,0.152744,,,
0.200568,-1.077504,0.157624,,,
0.205448,-1.070672,0.163968,,,
0.206424,-1.068232,0.171288,,,
0.202032,-1.068232,0.174704,,,
0.205448,-1.066280,0.175192,,,
0.207400,-1.060424,0.183000,,,
0.206424,-1.057984,0.179584,,,
0.200080,-1.066768,0.184952,,,
0.201056,-1.069208,0.172752,,,
0.202520,-1.074088,0.167384,,,
0.197152,-1.080432,0.158112,,,
0.197152,-1.081896,0.151768,,,
0.200568,-1.083848,0.164944,,,
0.194712,-1.086288,0.148352,,,
0.184464,-1.091168,0.133224,,,
0.177144,-1.096536,0.128344,,,
0.165920,-1.098976,0.120536,,,
0.160064,-1.094584,0.117608,,,
0.157136,-1.088240,0.125416,,,
