A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.050386,0.020862,0.971242,-560.000000,280.000000,0.000000
0.055022,-0.091134,1.011014,-420.000000,140.000000,-140.000000
0.106018,-0.191784,1.019310,-560.000000,-140.000000,-140.000000
0.307440,-0.463234,1.038708,-700.000000,-140.000000,0.000000
0.410286,-0.629032,0.991006,-840.000000,0.000000,0.000000
0.458598,-0.614636,1.155340,-980.000000,0.000000,0.000000
0.447374,-0.638060,1.078236,-980.000000,0.000000,-140.000000
0.427244,-0.692838,1.055544,-980.000000,140.000000,-280.000000
0.398452,-0.720532,1.109102,-980.000000,280.000000,-280.000000
0.330498,-0.730902,0.983808,-1120.000000,280.000000,-280.000000
0.265350,-0.686250,1.012478,-1120.000000,280.000000,-140.000000
0.186904,-0.618418,0.996984,-980.000000,140.000000,0.000000
0.113582,-0.485926,1.001620,-840.000000,-140.000000,-140.000000
0.047336,-0.357338,1.095926,-700.000000,0.000000,-280.000000
-0.024766,-0.207644,1.166564,-420.000000,140.000000,-280.000000
-0.072468,-0.073688,1.214998,-280.000000,280.000000,-140.000000
-0.117730,0.042212,1.225490,-420.000000,420.000000,-140.000000
-0.132492,0.148108,1.296738,-560.000000,420.000000,-140.000000
-0.153842,0.215818,1.304302,-700.000000,280.000000,-140.000000
-0.147620,0.261080,1.360544,-840.000000,140.000000,-140.000000
-0.155916,0.288286,1.321626,-980.000000,140.000000,0.000000
-0.162016,0.297314,1.297348,-980.000000,280.000000,0.000000
-0.160430,0.285358,1.293932,-840.000000,560.000000,0.000000
-0.183732,0.260470,1.211704,-560.000000,700.000000,140.000000
-0.180926,0.232898,1.208532,-280.000000,560.000000,140.000000
-0.193980,0.184464,1.124352,-420.000000,420.000000,0.000000
-0.184220,0.135420,1.084824,-420.000000,420.000000,-140.000000
-0.143960,0.049044,1.060912,-420.000000,420.000000,-140.000000
-0.103212,-0.020862,1.043588,-420.000000,420.000000,0.000000
-0.097722,-0.066490,0.999912,-560.000000,280.000000,280.000000
-0.107604,-0.061000,1.025288,-700.000000,0.000000,280.000000
-0.173484,-0.046726,0.935984,-700.000000,-280.000000,0.000000
-0.211426,-0.046116,0.916342,-560.000000,-280.000000,-140.000000
-0.221552,-0.021472,1.011502,-420.000000,-280.000000,-280.000000
-0.292800,0.046238,1.003084,-420.000000,-140.000000,-280.000000
-0.379054,0.111996,0.965020,-420.000000,0.000000,-280.000000
-0.403820,0.158112,0.991860,-420.000000,140.000000,-140.000000
-0.345382,0.158722,1.065060,-420.000000,140.000000,0.000000
-0.225212,0.118462,1.184498,-420.000000,140.000000,140.000000
-0.107848,0.079544,1.277584,-420.000000,0.000000,280.000000
-0.036112,0.066246,1.347978,-420.000000,0.000000,280.000000
-0.063684,0.088938,1.301618,-420.000000,0.000000,280.000000
-0.104676,0.127978,1.297104,-420.000000,140.000000,140.000000
-0.159698,0.159820,1.245986,-560.000000,280.000000,140.000000
-0.175070,0.166408,1.211094,-700.000000,280.000000,0.000000
-0.161528,0.152744,1.183034,-840.000000,280.000000,0.000000
-0.142130,0.136274,1.159122,-980.000000,280.000000,-140.000000
-0.130296,0.122610,1.126914,-840.000000,280.000000,-140.000000
-0.138592,0.124806,1.087630,-840.000000,280.000000,0.000000
-0.162382,0.126636,1.044076,-840.000000,420.000000,0.000000
-0.173606,0.114802,1.002230,-840.000000,280.000000,140.000000
-0.168970,0.091256,0.978074,-700.000000,280.000000,0.000000
-0.164578,0.062098,0.957212,-700.000000,140.000000,-140.000000
-0.153964,0.032940,0.938424,-840.000000,140.000000,-140.000000
-0.162748,0.018300,0.925248,-840.000000,140.000000,-140.000000
-0.169946,0.013176,0.916464,-700.000000,280.000000,0.000000
-0.175192,0.006832,0.916342,-700.000000,420.000000,0.000000
