A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.448106,0.090768,1.037366,-280.000000,420.000000,140.000000
-0.455914,0.099308,1.042246,-140.000000,280.000000,140.000000
-0.449936,0.106750,1.052982,-140.000000,140.000000,140.000000
-0.437858,0.116754,1.081286,-280.000000,140.000000,280.000000
-0.441762,0.128344,1.097024,-420.000000,140.000000,280.000000
-0.450668,0.119072,1.078968,-560.000000,280.000000,140.000000
-0.443470,0.127612,1.093730,-560.000000,560.000000,-140.000000
-0.434686,0.145668,1.110566,-560.000000,700.000000,-280.000000
-0.429928,0.161650,1.117398,-560.000000,420.000000,-280.000000
-0.428342,0.172508,1.115568,-560.000000,140.000000,-280.000000
-0.422364,0.172142,1.118740,-560.000000,140.000000,-140.000000
-0.422486,0.168726,1.118374,-560.000000,280.000000,0.000000
-0.432002,0.168726,1.112640,-700.000000,420.000000,140.000000
-0.445300,0.165798,1.093974,-700.000000,420.000000,0.000000
-0.456036,0.164700,1.076406,-700.000000,280.000000,0.000000
-0.468724,0.167872,1.061156,-560.000000,140.000000,0.000000
-0.480314,0.178730,1.052860,-560.000000,140.000000,0.000000
-0.494100,0.195322,1.042368,-560.000000,0.000000,140.000000
-0.503860,0.214720,1.036878,-700.000000,0.000000,280.000000
-0.514596,0.231190,1.028704,-840.000000,280.000000,280.000000
-0.524112,0.249124,1.023214,-840.000000,560.000000,140.000000
-0.532042,0.263032,1.014186,-700.000000,420.000000,-140.000000
-0.537166,0.272304,0.998936,-560.000000,140.000000,-280.000000
-0.538020,0.276818,0.987590,-560.000000,0.000000,-280.000000
-0.537776,0.279014,0.977098,-700.000000,0.000000,-280.000000
-0.530090,0.276696,0.969046,-560.000000,140.000000,-280.000000
-0.520330,0.271084,0.960994,-420.000000,140.000000,-140.000000
-0.506300,0.263398,0.957090,-420.000000,280.000000,0.000000
-0.496662,0.249978,0.950502,-560.000000,280.000000,140.000000
-0.483608,0.241072,0.945988,-700.000000,420.000000,140.000000
-0.475190,0.232410,0.940132,-840.000000,280.000000,0.000000
-0.467626,0.226798,0.935862,-840.000000,140.000000,-140.000000
-0.458476,0.225212,0.928664,-840.000000,140.000000,-140.000000
-0.455304,0.225334,0.917928,-840.000000,280.000000,-280.000000
-0.450180,0.226676,0.908168,-840.000000,140.000000,-280.000000
-0.444690,0.234606,0.901214,-840.000000,0.000000,-140.000000
-0.433954,0.245586,0.897188,-840.000000,-140.000000,140.000000
-0.434076,0.260958,0.891332,-700.000000,-140.000000,280.000000
-0.437126,0.279258,0.877302,-700.000000,0.000000,140.000000
-0.442006,0.295972,0.854976,-700.000000,0.000000,0.000000
-0.436760,0.305976,0.835944,-560.000000,140.000000,-140.000000
-0.426146,0.309880,0.813008,-280.000000,140.000000,-140.000000
-0.416386,0.313784,0.793854,-140.000000,140.000000,-140.000000
-0.408456,0.317566,0.773358,-420.000000,140.000000,-140.000000
-0.402966,0.319518,0.756888,-700.000000,420.000000,-280.000000
-0.390034,0.321104,0.748348,-840.000000,560.000000,-140.000000
-0.364536,0.315248,0.763964,-840.000000,560.000000,140.000000
-0.342576,0.324276,0.758230,-560.000000,420.000000,280.000000
-0.321592,0.334036,0.726266,-420.000000,280.000000,140.000000
-0.309148,0.333060,0.720654,-420.000000,280.000000,0.000000
-0.275598,0.317810,0.742370,-560.000000,280.000000,0.000000
-0.259982,0.301828,0.743468,-700.000000,420.000000,0.000000
-0.259738,0.289506,0.736026,-840.000000,560.000000,0.000000
-0.270596,0.279990,0.732610,-840.000000,560.000000,0.000000
-0.277184,0.268888,0.727852,-840.000000,700.000000,0.000000
-0.286578,0.258518,0.717116,-700.000000,560.000000,0.000000
-0.277062,0.239730,0.710162,-560.000000,280.000000,-140.000000
-0.269498,0.221430,0.708820,-560.000000,140.000000,-140.000000
-0.253272,0.198250,0.723460,-560.000000,140.000000,-280.000000
-0.225822,0.164334,0.749690,-560.000000,140.000000,-140.000000
-0.192516,0.123342,0.771528,-420.000000,280.000000,-140.000000
-0.136762,0.078324,0.781410,-420.000000,420.000000,0.000000
-0.090158,0.046482,0.790682,-420.000000,420.000000,140.000000
-0.064294,0.034648,0.811056,-420.000000,280.000000,0.000000
