A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
0.449448,0.118096,0.649040,,,
0.485560,0.111264,0.650016,,,
0.500200,0.104432,0.649040,,,
0.499712,0.100528,0.651968,,,
0.507032,0.103456,0.644160,,,
0.521672,0.100040,0.647576,,,
0.538264,0.093696,0.649040,,,
0.533384,0.097112,0.646600,,,
0.525576,0.095648,0.651480,,,
0.508008,0.105408,0.634400,,,
0.501176,0.110776,0.630984,,,
0.523624,0.101016,0.639280,,,
0.549000,0.096624,0.635376,,,
0.576816,0.089304,0.639768,,,
0.610000,0.083936,0.630496,,,
0.621224,0.077592,0.634400,,,
0.614880,0.076128,0.640256,,,
0.620248,0.077592,0.623664,,,
0.637816,0.066856,0.617320,,,
0.656360,0.061000,0.616832,,,
0.655384,0.065392,0.621224,,,
0.653432,0.064416,0.612440,,,
0.655384,0.061488,0.606584,,,
0.636840,0.069296,0.597312,,,
0.626104,0.067344,0.585112,,,
0.635376,0.059048,0.584136,,,
0.648552,0.061976,0.584624,,,
0.646600,0.063928,0.576328,,,
0.650992,0.064416,0.572912,,,
0.672952,0.058560,0.570472,,,
0.682224,0.054168,0.561200,,,
0.688080,0.054168,0.565592,,,
0.708576,0.047336,0.563152,,,
0.718336,0.040992,0.561688,,,
0.711016,0.048800,0.560712,,,
0.713456,0.046848,0.552416,,,
0.702720,0.041480,0.545584,,,
0.702232,0.043432,0.541192,,,
0.722728,0.037088,0.539728,,,
0.720288,0.036600,0.537288,,,
0.720776,0.035136,0.537776,,,
0.722240,0.038064,0.532896,,,
0.711504,0.034160,0.521672,,,
0.718824,0.033184,0.523624,,,
0.728584,0.037088,0.523136,,,
0.726632,0.033184,0.518256,,,
0.750544,0.029280,0.517280,,,
0.764696,0.016592,0.516792,,,
0.748104,0.023912,0.521672,,,
0.733464,0.037088,0.516304,,,
0.721264,0.034160,0.508496,,,
0.716384,0.033184,0.504104,,,
0.725656,0.024400,0.508984,,,
0.737856,0.018544,0.505568,,,
0.745176,0.020984,0.498736,,,
0.746152,0.022448,0.504104,,,
0.734440,0.026352,0.498248,,,
0.730048,0.025864,0.490440,,,
0.739320,0.023912,0.490928,,,
0.744688,0.020008,0.490928,,,
0.751032,0.014152,0.491416,,,
0.752984,0.012688,0.492880,,,
0.738832,0.015128,0.483120,,,
0.732976,0.014640,0.481656,,,
0.730048,0.015128,0.487024,,,
0.721752,0.019032,0.483120,,,
0.720776,0.016592,0.483608,,,
0.725656,0.014640,0.477264,,,
0.719312,0.020496,0.477752,,,
0.713944,0.016592,0.481168,,,
0.714920,0.016104,0.473848,,,
0.713944,0.019032,0.479704,,,
0.711992,0.017568,0.483120,,,
0.711016,0.020496,0.478728,,,
0.704672,0.018056,0.468968,,,
0.686616,0.021472,0.468480,,,
0.683200,0.026840,0.469456,,,
0.699792,0.022936,0.470920,,,
0.710040,0.017080,0.478240,,,
0.711504,0.019520,0.481168,,,
0.707600,0.021960,0.484584,,,
0.701744,0.024400,0.477752,,,
0.709064,0.020008,0.479216,,,
0.714920,0.013664,0.483608,,,
0.707112,0.018056,0.479216,,,
0.696864,0.025864,0.488000,,,
0.688568,0.027328,0.486048,,,
0.686128,0.029280,0.480192,,,
0.686616,0.029768,0.487512,,,
0.685640,0.028304,0.485072,,,
