A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.980270,0.022570,0.191296,-840.000000,140.000000,-280.000000
-0.978684,0.020862,0.194224,-980.000000,0.000000,-140.000000
-0.980026,0.022692,0.192272,-980.000000,140.000000,-140.000000
-0.980270,0.023180,0.192760,-980.000000,140.000000,-140.000000
-0.980392,0.023180,0.194590,-1120.000000,280.000000,-140.000000
-0.981002,0.024644,0.192028,-1120.000000,420.000000,-140.000000
-0.980514,0.023424,0.192638,-840.000000,420.000000,-140.000000
-0.982344,0.024156,0.191296,-700.000000,280.000000,0.000000
-0.981734,0.023668,0.190930,-560.000000,140.000000,0.000000
-0.981368,0.022082,0.190808,-560.000000,140.000000,0.000000
-0.982100,0.023668,0.192760,-560.000000,140.000000,-140.000000
-0.981246,0.022448,0.192516,-700.000000,420.000000,-140.000000
-0.981246,0.024522,0.190930,-980.000000,560.000000,-140.000000
-0.978196,0.021716,0.190198,-980.000000,280.000000,0.000000
-0.979294,0.024888,0.189710,-1120.000000,-140.000000,140.000000
-0.979538,0.021594,0.191418,-980.000000,-280.000000,280.000000
-0.978440,0.022936,0.191540,-840.000000,-140.000000,140.000000
-0.979782,0.022936,0.190930,-700.000000,280.000000,140.000000
-0.977220,0.022204,0.188978,-560.000000,560.000000,0.000000
-0.980392,0.024644,0.189222,-560.000000,840.000000,0.000000
-0.977464,0.021472,0.189832,-560.000000,840.000000,0.000000
-0.980148,0.023058,0.190320,-700.000000,840.000000,0.000000
-0.978562,0.022326,0.191052,-700.000000,700.000000,-140.000000
-0.978318,0.022936,0.192028,-840.000000,560.000000,-140.000000
-0.980758,0.023180,0.193858,-980.000000,420.000000,0.000000
-0.977830,0.019520,0.192394,-840.000000,280.000000,0.000000
-0.982710,0.024400,0.191174,-700.000000,0.000000,0.000000
-0.978806,0.021350,0.193248,-700.000000,-140.000000,140.000000
-0.981246,0.021838,0.191540,-700.000000,-140.000000,280.000000
-0.980270,0.021106,0.193370,-700.000000,0.000000,280.000000
-0.981246,0.019764,0.192760,-700.000000,420.000000,280.000000
-0.981612,0.021106,0.194346,-700.000000,420.000000,140.000000
-0.979416,0.021228,0.194468,-840.000000,140.000000,0.000000
-0.981124,0.021594,0.193858,-980.000000,-140.000000,0.000000
-0.979172,0.020496,0.191906,-1120.000000,-140.000000,-140.000000
-0.981002,0.022204,0.194102,-1120.000000,0.000000,-140.000000
-0.978928,0.020740,0.193004,-1120.000000,140.000000,0.000000
-0.979538,0.020740,0.195688,-1120.000000,0.000000,140.000000
-0.980026,0.020740,0.193126,-980.000000,-140.000000,280.000000
-0.978928,0.021350,0.193980,-840.000000,140.000000,140.000000
-0.980514,0.021228,0.193126,-840.000000,560.000000,0.000000
-0.978806,0.021472,0.194712,-840.000000,700.000000,-140.000000
-0.980392,0.020374,0.194590,-700.000000,700.000000,0.000000
-0.978806,0.022936,0.193736,-560.000000,420.000000,0.000000
-0.980514,0.021350,0.195444,-560.000000,140.000000,140.000000
-0.980758,0.021228,0.194834,-420.000000,0.000000,140.000000
-0.977830,0.022204,0.194224,-560.000000,0.000000,140.000000
-0.979172,0.021960,0.196054,-560.000000,0.000000,0.000000
-0.978684,0.020984,0.194468,-840.000000,140.000000,-140.000000
-0.979050,0.022570,0.193126,-840.000000,280.000000,-140.000000
-0.978440,0.022570,0.193248,-840.000000,420.000000,-140.000000
-0.978684,0.022936,0.192760,-700.000000,280.000000,0.000000
-0.980270,0.022570,0.194590,-700.000000,140.000000,0.000000
-0.979294,0.021106,0.193736,-840.000000,280.000000,-140.000000
-0.977830,0.022326,0.193004,-980.000000,560.000000,-140.000000
-0.980392,0.024034,0.193858,-980.000000,840.000000,-140.000000
-0.978928,0.022936,0.195200,-980.000000,840.000000,-140.000000
-0.980514,0.023912,0.192028,-840.000000,560.000000,-140.000000
-0.979416,0.024400,0.192272,-840.000000,140.000000,140.000000
-0.981490,0.024278,0.194468,-1120.000000,140.000000,280.000000
-0.979660,0.023912,0.194956,-1260.000000,280.000000,280.000000
-0.979904,0.023424,0.193614,-1260.000000,420.000000,0.000000
-0.981490,0.025376,0.193614,-980.000000,420.000000,0.000000
-0.980148,0.025498,0.193980,-840.000000,420.000000,140.000000
-0.981124,0.025742,0.193126,-560.000000,280.000000,140.000000
-0.978684,0.021838,0.194102,-420.000000,280.000000,0.000000
-0.980514,0.025254,0.195322,-420.000000,420.000000,0.000000
-0.979294,0.024644,0.193980,-420.000000,280.000000,0.000000
-0.980880,0.024522,0.192760,-420.000000,140.000000,140.000000
-0.980026,0.025254,0.192760,-420.000000,140.000000,140.000000
-0.979050,0.025620,0.193858,-560.000000,280.000000,0.000000
-0.980758,0.024278,0.192394,-700.000000,280.000000,-280.000000
-0.979050,0.024644,0.193736,-700.000000,280.000000,-280.000000
-0.982222,0.025864,0.192028,-700.000000,280.000000,-140.000000
-0.979904,0.024156,0.192760,-840.000000,420.000000,-140.000000
-0.981124,0.025620,0.192272,-980.000000,560.000000,-140.000000
