A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
0.058560,-0.727608,-0.133224,,,
0.054656,-0.725656,-0.139080,,,
0.051728,-0.730536,-0.148352,,,
0.042944,-0.723216,-0.150792,,,
0.040016,-0.718336,-0.144936,,,
0.042456,-0.716872,-0.141032,,,
0.033672,-0.709552,-0.130784,,,
0.038064,-0.713944,-0.130296,,,
0.056608,-0.728584,-0.136152,,,
0.075152,-0.751032,-0.133712,,,
0.088328,-0.768600,-0.141032,,,
0.086864,-0.764696,-0.149816,,,
0.073200,-0.754936,-0.159576,,,
0.057584,-0.745664,-0.161040,,,
0.054168,-0.738832,-0.156160,,,
0.055144,-0.726144,-0.141032,,,
0.047336,-0.726144,-0.129808,,,
0.043432,-0.726632,-0.118584,,,
0.041480,-0.716872,-0.098576,,,
0.037088,-0.717848,-0.083448,,,
0.038064,-0.712480,-0.066856,,,
0.036600,-0.707112,-0.054168,,,
0.034160,-0.707600,-0.041480,,,
0.032696,-0.708088,-0.032696,,,
0.034160,-0.713456,-0.029768,,,
0.041968,-0.719312,-0.030256,,,
0.047824,-0.719800,-0.029280,,,
0.047824,-0.716872,-0.021960,,,
0.045872,-0.711504,-0.016104,,,
0.037576,-0.713456,-0.012688,,,
0.039040,-0.717360,-0.010248,,,
0.048800,-0.723216,-0.006832,,,
0.055144,-0.737856,-0.007320,,,
0.057096,-0.744688,-0.023912,,,
0.051240,-0.739320,-0.040992,,,
0.045872,-0.737856,-0.055632,,,
0.030744,-0.732976,-0.075152,,,
0.015128,-0.728096,-0.099552,,,
0.000488,-0.722728,-0.117608,,,
-0.007320,-0.718336,-0.123464,,,
-0.005856,-0.715408,-0.127368,,,
-0.000488,-0.725656,-0.137616,,,
0.009272,-0.737368,-0.150304,,,
0.003904,-0.749568,-0.161040,,,
-0.002440,-0.754936,-0.178120,,,
-0.003904,-0.747616,-0.189344,,,
-0.011712,-0.746640,-0.200568,,,
-0.013176,-0.745176,-0.206424,,,
-0.015128,-0.738344,-0.201544,,,
-0.019032,-0.732976,-0.195688,,,
-0.018544,-0.734440,-0.189344,,,
-0.011712,-0.738832,-0.190320,,,
-0.001464,-0.742248,-0.188856,,,
-0.001464,-0.741272,-0.186416,,,
-0.001952,-0.741760,-0.179584,,,
-0.000976,-0.731512,-0.161528,,,
-0.001952,-0.726632,-0.143472,,,
0.001952,-0.726144,-0.128344,,,
0.001464,-0.728096,-0.113216,,,
0.008296,-0.726632,-0.101992,,,
0.013664,-0.729072,-0.092232,,,
0.017080,-0.733464,-0.082960,,,
0.026352,-0.733952,-0.080520,,,
0.032696,-0.739808,-0.081496,,,
0.036600,-0.748104,-0.082472,,,
0.032208,-0.746640,-0.085888,,,
0.029768,-0.746640,-0.093208,,,
0.037088,-0.754936,-0.102480,,,
0.036112,-0.752984,-0.103944,,,
0.033672,-0.756400,-0.111752,,,
0.032208,-0.758840,-0.130296,,,
0.021960,-0.758840,-0.148840,,,
0.013664,-0.756400,-0.157136,,,
0.008296,-0.749080,-0.155672,,,
0.007808,-0.749568,-0.164944,,,
0.006832,-0.752496,-0.174216,,,
0.002440,-0.758352,-0.178120,,,
-0.004392,-0.755424,-0.188856,,,
-0.004392,-0.749080,-0.197152,,,
-0.004880,-0.753960,-0.194224,,,
-0.004392,-0.754936,-0.192760,,,
0.001952,-0.762256,-0.200080,,,
-0.001464,-0.763720,-0.204472,,,
0.002440,-0.761280,-0.208376,,,
0.011712,-0.765184,-0.203984,,,
0.013176,-0.772016,-0.204960,,,
0.017080,-0.773968,-0.203008,,,
0.019032,-0.772504,-0.191296,,,
0.024400,-0.771528,-0.186904,,,
0.035136,-0.772992,-0.177632,,,
0.036112,-0.775432,-0.168360,,,
0.031720,-0.770552,-0.154208,,,
0.031232,-0.760792,-0.139080,,,
0.026840,-0.752984,-0.129808,,,
0.023424,-0.749080,-0.110776,,,
0.032696,-0.749568,-0.096624,,,
0.037576,-0.755912,-0.093208,,,
0.031232,-0.760792,-0.085888,,,
0.036112,-0.758352,-0.083936,,,
0.042944,-0.760792,-0.085888,,,
0.046848,-0.767624,-0.091256,,,
0.052704,-0.775920,-0.101016,,,
0.052704,-0.780312,-0.100040,,,
0.050264,-0.776896,-0.104432,,,
0.045384,-0.778848,-0.105896,,,
0.046360,-0.779824,-0.109312,,,
0.047336,-0.780800,-0.116144,,,
0.045384,-0.784216,-0.112728,,,
0.042456,-0.772504,-0.118584,,,
0.032208,-0.769088,-0.113216,,,
0.037088,-0.774944,-0.108824,,,
0.044896,-0.775432,-0.100528,,,
0.056608,-0.781776,-0.093696,,,
0.066856,-0.786656,-0.097600,,,
0.057096,-0.788120,-0.094184,,,
0.049288,-0.787144,-0.094184,,,
0.055144,-0.783240,-0.096136,,,
0.059048,-0.785680,-0.099064,,,
0.059536,-0.793488,-0.099552,,,
0.069784,-0.795440,-0.096136,,,
0.070760,-0.797392,-0.098088,,,
0.058560,-0.790560,-0.093208,,,
0.063928,-0.782752,-0.083936,,,
0.068808,-0.785680,-0.082960,,,
0.073200,-0.792512,-0.078080,,,
0.081496,-0.799832,-0.073200,,,
0.075152,-0.799832,-0.067344,,,
0.072712,-0.799344,-0.070760,,,
0.071248,-0.797392,-0.077592,,,
0.073200,-0.802760,-0.077592,,,
0.077104,-0.806176,-0.071248,,,
0.078568,-0.803736,-0.065392,,,
0.086864,-0.808128,-0.060024,,,
0.093208,-0.815936,-0.046848,,,
0.092232,-0.824232,-0.041968,,,
0.095160,-0.829112,-0.038552,,,
0.098088,-0.822280,-0.033184,,,
0.095160,-0.811544,-0.023424,,,
0.096136,-0.808616,-0.007320,,,
0.096136,-0.799344,0.001952,,,
0.086376,-0.794952,0.009760,,,
0.079544,-0.791048,0.031720,,,
0.074664,-0.781776,0.049288,,,
0.073200,-0.779824,0.051240,,,
0.069784,-0.782752,0.053192,,,
0.068320,-0.784216,0.053680,,,
0.064416,-0.792024,0.041480,,,
0.057096,-0.792024,0.030744,,,
0.046360,-0.785192,0.027816,,,
0.029768,-0.774456,0.010736,,,
0.020984,-0.769576,0.004880,,,
0.014640,-0.772504,0.002440,,,
0.008296,-0.778848,-0.017080,,,
0.011224,-0.785680,-0.025864,,,
0.013664,-0.795440,-0.049776,,,
0.001952,-0.798368,-0.073200,,,
-0.007808,-0.793488,-0.080520,,,
-0.008784,-0.802760,-0.103944,,,
-0.004392,-0.809104,-0.118096,,,
-0.003416,-0.815448,-0.132248,,,
-0.010736,-0.821304,-0.153720,,,
-0.017080,-0.818376,-0.160552,,,
-0.023912,-0.813496,-0.169336,,,
-0.025376,-0.802760,-0.174216,,,
-0.028792,-0.792512,-0.167384,,,
-0.039040,-0.792024,-0.163968,,,
-0.039528,-0.787632,-0.152744,,,
-0.034160,-0.786656,-0.139568,,,
-0.029280,-0.793488,-0.130784,,,
-0.014640,-0.808616,-0.123464,,,
0.012688,-0.832528,-0.121512,,,
0.032696,-0.851560,-0.122976,,,
0.041480,-0.864736,-0.128344,,,
0.041968,-0.859856,-0.128832,,,
0.040016,-0.854000,-0.128344,,,
0.038552,-0.854976,-0.122000,,,
0.038552,-0.846680,-0.115168,,,
0.047824,-0.851072,-0.108824,,,
0.062952,-0.871080,-0.108336,,,
0.078568,-0.892552,-0.117608,,,
0.089792,-0.904264,-0.122976,,,
0.092720,-0.916952,-0.136152,,,
0.096136,-0.920856,-0.151280,,,
0.100040,-0.922808,-0.162992,,,
0.096136,-0.924272,-0.180560,,,
0.096136,-0.922808,-0.188856,,,
0.105408,-0.930128,-0.205448,,,
0.108824,-0.941840,-0.224480,,,
0.106872,-0.956968,-0.240584,,,
0.107848,-0.964776,-0.267424,,,
0.101992,-0.968680,-0.283528,,,
0.101504,-0.970632,-0.310856,,,
0.112240,-0.978440,-0.327936,,,
0.116144,-0.988688,-0.339648,,,
0.120048,-0.996008,-0.364536,,,
0.121024,-1.004304,-0.375760,,,
0.121512,-1.008696,-0.379176,,,
0.119072,-1.007720,-0.391864,,,
0.112240,-0.998936,-0.396256,,,
0.114192,-0.992592,-0.384056,,,
0.114192,-0.992592,-0.382104,,,
0.114680,-0.987224,-0.378688,,,
0.125416,-0.992104,-0.373320,,,
0.122976,-0.993080,-0.375272,,,
0.123464,-0.994056,-0.377224,,,
0.130296,-0.999912,-0.371856,,,
0.126392,-0.998936,-0.370880,,,
0.131272,-0.993080,-0.365512,,,
0.132248,-0.989176,-0.357216,,,
0.132248,-0.990152,-0.351360,,,
0.131272,-0.987712,-0.348920,,,
0.130784,-0.983808,-0.337696,,,
0.129808,-0.981368,-0.322568,,,
0.126392,-0.978440,-0.315736,,,
0.131760,-0.969656,-0.296704,,,
0.129320,-0.970632,-0.288896,,,
0.123952,-0.968192,-0.282064,,,
0.129808,-0.956480,-0.266936,,,
0.128832,-0.955992,-0.259128,,,
0.121024,-0.952576,-0.253272,,,
0.122000,-0.944280,-0.248392,,,
0.122488,-0.938912,-0.237656,,,
0.116632,-0.937448,-0.235704,,,
0.118584,-0.935008,-0.233264,,,
0.120536,-0.933544,-0.226920,,,
0.112728,-0.936472,-0.229848,,,
0.114192,-0.932080,-0.238144,,,
0.114680,-0.929152,-0.233752,,,
0.113216,-0.927200,-0.233264,,,
0.112728,-0.919880,-0.241072,,,
0.103456,-0.916464,-0.240096,,,
0.099064,-0.911584,-0.241560,,,
0.096624,-0.911584,-0.232776,,,
0.097112,-0.912560,-0.228872,,,
0.099064,-0.905728,-0.230824,,,
0.095160,-0.905728,-0.236192,,,
0.087352,-0.910608,-0.242048,,,
0.084424,-0.906216,-0.234728,,,
0.083448,-0.899384,-0.232776,,,
0.083448,-0.903776,-0.235704,,,
0.087840,-0.905240,-0.231800,,,
0.087352,-0.901336,-0.233264,,,
0.082960,-0.895968,-0.232288,,,
0.079544,-0.894016,-0.227896,,,
0.075640,-0.892552,-0.226920,,,
0.079056,-0.892552,-0.227896,,,
0.077592,-0.893528,-0.227896,,,
0.078080,-0.895480,-0.232288,,,
0.084912,-0.894992,-0.231800,,,
0.086864,-0.898408,-0.226432,,,
0.090280,-0.906704,-0.234728,,,
0.091256,-0.905728,-0.237168,,,
0.098088,-0.905240,-0.235216,,,
0.093208,-0.902312,-0.241072,,,
0.082960,-0.898408,-0.250832,,,
0.080032,-0.887672,-0.249856,,,
0.077104,-0.882304,-0.246440,,,
0.075152,-0.879864,-0.244976,,,
0.078568,-0.878400,-0.243024,,,
0.074176,-0.881816,-0.248880,,,
0.074664,-0.882304,-0.248392,,,
0.075152,-0.880840,-0.248880,,,
0.073200,-0.878400,-0.248392,,,
0.077104,-0.886696,-0.252296,,,
0.076616,-0.885720,-0.260104,,,
0.068808,-0.878400,-0.262056,,,
0.063928,-0.871080,-0.270352,,,
0.062464,-0.865224,-0.273768,,,
0.060024,-0.874496,-0.274256,,,
0.063440,-0.872544,-0.279624,,,
0.062464,-0.867176,-0.279136,,,
0.063440,-0.869616,-0.283040,,,
0.065880,-0.870592,-0.288896,,,
0.064416,-0.875960,-0.289872,,,
0.063928,-0.870592,-0.292800,,,
0.058072,-0.863760,-0.292800,,,
0.053680,-0.862784,-0.293288,,,
0.052704,-0.859856,-0.297680,,,
0.048800,-0.863760,-0.300608,,,
0.043432,-0.862784,-0.308416,,,
0.043432,-0.858392,-0.313784,,,
0.043432,-0.862296,-0.311344,,,
0.045384,-0.860344,-0.311832,,,
0.042456,-0.862784,-0.315736,,,
0.040992,-0.862296,-0.313784,,,
0.041480,-0.857416,-0.313784,,,
0.037088,-0.854000,-0.316712,,,
0.034648,-0.848632,-0.313784,,,
0.032696,-0.854976,-0.306464,,,
0.033184,-0.854488,-0.302560,,,
0.039040,-0.847656,-0.305488,,,
0.035136,-0.846680,-0.300120,,,
0.026840,-0.848632,-0.295240,,,
0.026352,-0.846680,-0.290848,,,
0.019032,-0.842776,-0.292312,,,
0.018544,-0.838872,-0.294264,,,
0.021472,-0.842776,-0.285968,,,
0.022448,-0.840824,-0.285480,,,
0.022936,-0.834480,-0.277672,,,
0.025376,-0.843264,-0.276696,,,
0.026352,-0.840336,-0.279624,,,
0.022936,-0.835944,-0.269376,,,
0.022448,-0.836920,-0.272304,,,
0.024400,-0.834968,-0.271816,,,
0.026840,-0.842776,-0.264984,,,
0.022448,-0.839848,-0.265472,,,
0.022936,-0.834480,-0.262056,,,
0.021960,-0.839848,-0.254736,,,
0.020008,-0.835456,-0.254248,,,
0.025376,-0.841312,-0.253272,,,
0.026352,-0.841312,-0.249368,,,
0.024888,-0.829600,-0.249856,,,
0.021960,-0.830088,-0.246928,,,
0.017568,-0.836432,-0.249856,,,
0.021472,-0.837896,-0.249856,,,
0.014152,-0.834480,-0.251320,,,
0.011224,-0.832040,-0.259128,,,
0.011712,-0.831552,-0.259616,,,
0.013664,-0.831552,-0.255224,,,
0.018544,-0.830088,-0.253272,,,
0.011712,-0.830088,-0.254736,,,
0.006344,-0.829600,-0.261080,,,
0.008296,-0.830576,-0.261080,,,
0.008784,-0.833992,-0.255712,,,
0.010248,-0.834968,-0.255224,,,
0.007808,-0.834968,-0.253760,,,
0.005368,-0.834968,-0.259128,,,
0.006832,-0.831064,-0.252784,,,
0.006344,-0.831552,-0.252296,,,
0.005856,-0.834480,-0.252296,,,
0.002928,-0.833504,-0.243024,,,
0.001952,-0.830576,-0.249856,,,
0.005856,-0.831552,-0.249856,,,
0.001464,-0.827160,-0.248880,,,
-0.008784,-0.827648,-0.249856,,,
-0.006344,-0.832040,-0.248880,,,
-0.009272,-0.826672,-0.248392,,,
-0.005856,-0.826672,-0.247904,,,
0.000000,-0.833992,-0.249368,,,
-0.006832,-0.828624,-0.247904,,,
-0.009760,-0.827160,-0.245464,,,
-0.011224,-0.831064,-0.246440,,,
-0.013176,-0.826184,-0.243024,,,
-0.018056,-0.828136,-0.248880,,,
-0.020496,-0.832528,-0.256688,,,
-0.019520,-0.834968,-0.252296,,,
-0.024888,-0.828624,-0.253760,,,
-0.023912,-0.826184,-0.253760,,,
-0.028304,-0.826672,-0.251320,,,
-0.032696,-0.826184,-0.249368,,,
-0.029768,-0.827160,-0.248880,,,
-0.031720,-0.831064,-0.252296,,,
-0.032696,-0.831064,-0.255712,,,
-0.030256,-0.828624,-0.254736,,,
-0.023912,-0.831064,-0.248880,,,
-0.030256,-0.833016,-0.252296,,,
-0.031720,-0.836920,-0.253760,,,
-0.031720,-0.827648,-0.254248,,,
-0.038064,-0.826184,-0.262544,,,
-0.043920,-0.829112,-0.258640,,,
-0.041968,-0.833504,-0.258640,,,
-0.044408,-0.829600,-0.259616,,,
-0.047824,-0.827160,-0.261080,,,
-0.048312,-0.827160,-0.265472,,,
-0.055144,-0.821792,-0.264496,,,
-0.054168,-0.821792,-0.268888,,,
-0.059536,-0.818864,-0.268400,,,
-0.061976,-0.823744,-0.268888,,,
-0.059048,-0.827160,-0.268400,,,
-0.064904,-0.826672,-0.267912,,,
-0.065392,-0.831552,-0.268400,,,
-0.064904,-0.831064,-0.268400,,,
-0.068320,-0.821792,-0.267424,,,
-0.069296,-0.823256,-0.264008,,,
-0.072224,-0.826184,-0.266936,,,
-0.075640,-0.824232,-0.264984,,,
-0.078568,-0.824720,-0.267424,,,
-0.078568,-0.823744,-0.265472,,,
-0.076128,-0.822768,-0.267424,,,
-0.083448,-0.823744,-0.270352,,,
-0.086376,-0.826672,-0.263520,,,
-0.084912,-0.823256,-0.273768,,,
-0.091256,-0.820328,-0.273280,,,
-0.089792,-0.826184,-0.264496,,,
-0.083936,-0.831064,-0.264496,,,
-0.085400,-0.830088,-0.262056,,,
-0.088816,-0.832528,-0.264008,,,
-0.088816,-0.830088,-0.257176,,,
-0.088328,-0.825208,-0.248880,,,
-0.092232,-0.829112,-0.246928,,,
-0.094184,-0.825208,-0.252296,,,
-0.100040,-0.829600,-0.258152,,,
-0.105896,-0.829600,-0.255224,,,
-0.109312,-0.826184,-0.251320,,,
-0.112240,-0.834480,-0.251808,,,
-0.112240,-0.834968,-0.253272,,,
-0.110288,-0.839360,-0.255224,,,
-0.110776,-0.839360,-0.258640,,,
-0.116144,-0.831552,-0.254248,,,
-0.120048,-0.833504,-0.253760,,,
-0.119560,-0.833992,-0.252784,,,
-0.123464,-0.829600,-0.248392,,,
-0.125416,-0.833016,-0.246928,,,
-0.121024,-0.833504,-0.249856,,,
-0.122000,-0.834480,-0.254736,,,
-0.125416,-0.834968,-0.250832,,,
-0.125904,-0.833504,-0.246440,,,
-0.132248,-0.838872,-0.249368,,,
-0.135176,-0.834968,-0.248392,,,
-0.133712,-0.833504,-0.253760,,,
-0.137128,-0.835944,-0.255712,,,
-0.137128,-0.832040,-0.250832,,,
-0.134200,-0.836920,-0.252296,,,
-0.137128,-0.841800,-0.256200,,,
-0.136152,-0.845216,-0.253272,,,
-0.138104,-0.842776,-0.256200,,,
-0.146888,-0.841312,-0.258640,,,
-0.145424,-0.839848,-0.255712,,,
-0.146400,-0.840336,-0.260104,,,
-0.152256,-0.841312,-0.254736,,,
-0.149328,-0.840824,-0.254248,,,
-0.144448,-0.843264,-0.256200,,,
-0.146888,-0.839848,-0.258152,,,
-0.150304,-0.840336,-0.258152,,,
-0.151768,-0.842776,-0.260592,,,
-0.155184,-0.844728,-0.258640,,,
-0.159088,-0.840824,-0.259128,,,
-0.159088,-0.837896,-0.260104,,,
-0.153720,-0.840824,-0.259616,,,
-0.152256,-0.848632,-0.261568,,,
-0.153232,-0.848144,-0.264984,,,
-0.156648,-0.848144,-0.270840,,,
-0.162504,-0.843264,-0.268888,,,
-0.158112,-0.837408,-0.270840,,,
-0.163968,-0.845216,-0.268888,,,
-0.162016,-0.846192,-0.267424,,,
-0.155184,-0.845704,-0.266448,,,
-0.157624,-0.848144,-0.265960,,,
-0.158600,-0.846680,-0.273768,,,
-0.158112,-0.849608,-0.283040,,,
-0.154696,-0.856928,-0.284504,,,
-0.150304,-0.854488,-0.281088,,,
-0.152744,-0.851560,-0.283040,,,
-0.156160,-0.850096,-0.282552,,,
-0.161528,-0.849120,-0.284992,,,
-0.163968,-0.850096,-0.288408,,,
-0.162992,-0.851560,-0.293776,,,
-0.167384,-0.851072,-0.297680,,,
-0.159088,-0.854976,-0.298168,,,
-0.158600,-0.850096,-0.303536,,,
-0.159576,-0.848632,-0.302560,,,
-0.161528,-0.857416,-0.305488,,,
-0.162992,-0.859856,-0.318176,,,
-0.162992,-0.861320,-0.320616,,,
-0.164456,-0.860832,-0.324520,,,
-0.157624,-0.862784,-0.331840,,,
-0.158112,-0.861808,-0.333304,,,
-0.160064,-0.864736,-0.341112,,,
-0.163480,-0.865712,-0.347944,,,
-0.159576,-0.867176,-0.346968,,,
-0.156160,-0.867664,-0.340624,,,
-0.157136,-0.866688,-0.334768,,,
-0.153232,-0.863760,-0.333304,,,
-0.151768,-0.866200,-0.329888,,,
-0.149816,-0.868640,-0.327936,,,
-0.154208,-0.868152,-0.324032,,,
-0.149816,-0.876448,-0.319152,,,
-0.147376,-0.872056,-0.318176,,,
-0.146888,-0.874008,-0.315248,,,
-0.143960,-0.873032,-0.308904,,,
-0.142984,-0.868640,-0.305000,,,
-0.132736,-0.873520,-0.305488,,,
-0.132248,-0.874496,-0.300120,,,
-0.127856,-0.877424,-0.301584,,,
-0.125416,-0.882304,-0.302072,,,
-0.121512,-0.879864,-0.300120,,,
-0.115168,-0.880840,-0.302072,,,
-0.119560,-0.885232,-0.297192,,,
-0.117608,-0.885720,-0.293288,,,
-0.114680,-0.886208,-0.292312,,,
-0.114192,-0.878888,-0.292800,,,
-0.112728,-0.885720,-0.292312,,,
-0.115656,-0.888648,-0.290360,,,
-0.114680,-0.886696,-0.288896,,,
-0.110776,-0.887184,-0.289872,,,
-0.112240,-0.883768,-0.297680,,,
-0.116632,-0.889624,-0.303048,,,
-0.113704,-0.889136,-0.300120,,,
-0.110776,-0.886208,-0.308904,,,
-0.108336,-0.884744,-0.303536,,,
-0.108824,-0.886696,-0.298168,,,
-0.107360,-0.891576,-0.308904,,,
-0.100528,-0.894016,-0.307928,,,
-0.098576,-0.896456,-0.309392,,,
-0.091744,-0.894016,-0.307440,,,
-0.095160,-0.893040,-0.307928,,,
-0.100040,-0.895968,-0.314272,,,
-0.097112,-0.888648,-0.314760,,,
-0.096624,-0.883280,-0.311344,,,
-0.099552,-0.890112,-0.311344,,,
-0.093208,-0.890600,-0.315736,,,
-0.083448,-0.891576,-0.317200,,,
-0.084912,-0.893528,-0.317688,,,
-0.087352,-0.889136,-0.319152,,,
-0.090768,-0.886696,-0.322080,,,
-0.089304,-0.884744,-0.317200,,,
-0.082472,-0.887672,-0.316712,,,
-0.085888,-0.890600,-0.314760,,,
-0.085400,-0.884744,-0.307440,,,
-0.081008,-0.884256,-0.310856,,,
-0.077104,-0.884744,-0.318664,,,
-0.073688,-0.881328,-0.319152,,,
-0.079544,-0.877912,-0.310856,,,
-0.074176,-0.880840,-0.312320,,,
-0.069296,-0.883768,-0.315248,,,
-0.070760,-0.886208,-0.308904,,,
-0.061976,-0.886208,-0.310368,,,
-0.065392,-0.884744,-0.318664,,,
-0.068808,-0.878400,-0.313296,,,
-0.067344,-0.877424,-0.312320,,,
-0.073688,-0.877424,-0.315736,,,
-0.071736,-0.874984,-0.310856,,,
-0.066856,-0.874008,-0.301584,,,
-0.062952,-0.873032,-0.305976,,,
-0.059048,-0.876936,-0.312808,,,
-0.058560,-0.872544,-0.306952,,,
-0.055144,-0.873520,-0.303536,,,
-0.050752,-0.870104,-0.301096,,,
-0.054656,-0.869128,-0.299144,,,
-0.054656,-0.869616,-0.300120,,,
-0.052216,-0.866688,-0.304024,,,
-0.052216,-0.870592,-0.302072,,,
-0.044408,-0.869616,-0.305000,,,
-0.046848,-0.862296,-0.307928,,,
-0.050752,-0.859368,-0.307928,,,
-0.051240,-0.857416,-0.305976,,,
-0.048312,-0.861320,-0.305976,,,
-0.043432,-0.865224,-0.314760,,,
-0.042456,-0.864248,-0.320616,,,
-0.042944,-0.857416,-0.327448,,,
-0.047336,-0.857416,-0.331352,,,
-0.048800,-0.854000,-0.332328,,,
-0.045872,-0.848632,-0.326960,,,
-0.039528,-0.847168,-0.325008,,,
-0.044896,-0.847656,-0.326960,,,
-0.041968,-0.847656,-0.327448,,,
-0.040016,-0.843752,-0.331352,,,
-0.043432,-0.844240,-0.328424,,,
-0.040016,-0.837896,-0.323056,,,
-0.036600,-0.840824,-0.325984,,,
-0.024888,-0.845216,-0.321592,,,
-0.025376,-0.841800,-0.326960,,,
-0.029768,-0.839360,-0.334768,,,
-0.035136,-0.834968,-0.327936,,,
-0.036112,-0.830576,-0.329400,,,
-0.034160,-0.826184,-0.326472,,,
-0.030256,-0.821792,-0.328424,,,
-0.029768,-0.816912,-0.334280,,,
-0.036112,-0.813984,-0.332328,,,
-0.038552,-0.813984,-0.335256,,,
-0.031232,-0.810568,-0.335256,,,
-0.023912,-0.809592,-0.329400,,,
-0.023424,-0.809592,-0.322568,,,
-0.020496,-0.807152,-0.325984,,,
-0.019520,-0.804224,-0.327448,,,
-0.018544,-0.800320,-0.325008,,,
-0.024400,-0.797880,-0.325496,,,
-0.025376,-0.790072,-0.315736,,,
-0.024400,-0.786168,-0.314272,,,
-0.025376,-0.787632,-0.321592,,,
-0.020496,-0.783240,-0.315736,,,
-0.020984,-0.789096,-0.310368,,,
-0.017080,-0.789096,-0.310856,,,
-0.014640,-0.782264,-0.305000,,,
-0.012200,-0.777384,-0.301584,,,
-0.014640,-0.769088,-0.299144,,,
-0.019520,-0.764696,-0.290360,,,
-0.014640,-0.767624,-0.290848,,,
-0.007808,-0.772504,-0.284016,,,
-0.008784,-0.772504,-0.278160,,,
-0.007320,-0.766160,-0.274744,,,
-0.008296,-0.755912,-0.267912,,,
-0.008296,-0.753960,-0.265960,,,
-0.008784,-0.750544,-0.258640,,,
-0.007320,-0.743224,-0.256688,,,
-0.005368,-0.748104,-0.253760,,,
-0.007808,-0.747616,-0.253272,,,
-0.001464,-0.742248,-0.247416,,,
0.001464,-0.736392,-0.242048,,,
-0.002928,-0.735904,-0.238632,,,
-0.003416,-0.732976,-0.232776,,,
-0.001464,-0.723216,-0.234728,,,
-0.009760,-0.721264,-0.234728,,,
-0.006832,-0.723216,-0.231800,,,
-0.000976,-0.719800,-0.236680,,,
-0.007808,-0.711016,-0.230336,,,
-0.012200,-0.709552,-0.227896,,,
-0.010736,-0.707600,-0.228872,,,
-0.008784,-0.703208,-0.223992,,,
-0.013664,-0.694912,-0.223992,,,
-0.010248,-0.695888,-0.222040,,,
-0.007320,-0.697840,-0.223016,,,
-0.011712,-0.694424,-0.215696,,,
-0.010736,-0.690032,-0.209352,,,
-0.015616,-0.685640,-0.208376,,,
-0.015128,-0.681736,-0.205936,,,
-0.010248,-0.675880,-0.204472,,,
-0.009272,-0.673440,-0.200080,,,
-0.008296,-0.676856,-0.193736,,,
-0.006344,-0.679784,-0.196664,,,
-0.007320,-0.678808,-0.195688,,,
-0.005856,-0.671976,-0.185440,,,
-0.003904,-0.672464,-0.184464,,,
-0.005368,-0.670024,-0.183000,,,
-0.003904,-0.661728,-0.179584,,,
-0.004392,-0.660264,-0.181536,,,
-0.007320,-0.655872,-0.178120,,,
-0.012688,-0.651968,-0.174216,,,
