A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.011712,0.002928,0.999912,-109270.000000,-137900.000000,-77910.000000
-0.011712,0.000000,0.999912,-110040.000000,-138320.000000,-77700.000000
-0.011712,-0.000488,1.005280,-110880.000000,-138740.000000,-77420.000000
-0.011224,0.000488,1.005280,-111790.000000,-139300.000000,-77070.000000
-0.006344,0.001464,1.002840,-112630.000000,-139790.000000,-76860.000000
-0.006832,0.000488,1.005280,-113260.000000,-140210.000000,-76440.000000
-0.012688,-0.000488,1.004304,-114030.000000,-140420.000000,-76090.000000
-0.008784,0.003416,1.005280,-114730.000000,-140560.000000,-75740.000000
-0.011224,-0.000976,1.006744,-115500.000000,-140910.000000,-75250.000000
-0.010736,0.001464,1.010160,-116550.000000,-141470.000000,-74760.000000
-0.008296,-0.001464,1.007232,-117250.000000,-142030.000000,-74270.000000
-0.010248,-0.001952,1.003328,-117670.000000,-142310.000000,-73850.000000
-0.007808,0.001952,1.006256,-118300.000000,-142660.000000,-73290.000000
-0.011712,-0.002928,1.004304,-118930.000000,-142800.000000,-72730.000000
-0.012200,0.000000,1.004304,-119700.000000,-143150.000000,-72170.000000
-0.012688,0.000000,1.007720,-120120.000000,-143570.000000,-71610.000000
-0.013176,-0.003416,1.006256,-120470.000000,-143780.000000,-71120.000000
-0.008296,-0.002440,1.004304,-120960.000000,-143990.000000,-70350.000000
-0.012200,-0.000488,1.005280,-121450.000000,-144340.000000,-69790.000000
-0.010736,-0.002928,1.005280,-121800.000000,-144900.000000,-69160.000000
-0.007320,-0.005368,1.005768,-122010.000000,-145320.000000,-68320.000000
-0.004392,0.001952,1.006256,-122220.000000,-145530.000000,-67550.000000
-0.009760,0.001464,1.009184,-122570.000000,-145740.000000,-66920.000000
-0.010736,-0.002440,1.005280,-122920.000000,-146020.000000,-66290.000000
-0.004880,0.001952,1.003816,-123060.000000,-146370.000000,-65450.000000
-0.003416,0.000000,1.010160,-123130.000000,-146650.000000,-64540.000000
-0.006344,-0.000488,1.007720,-123550.000000,-147140.000000,-63700.000000
-0.011224,0.002440,1.010648,-123760.000000,-147700.000000,-62930.000000
