A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
0.002928,0.013176,1.006500,-560.000000,140.000000,-140.000000
0.001952,0.013908,1.004670,-280.000000,0.000000,0.000000
0.001342,0.014030,1.004060,-420.000000,0.000000,0.000000
0.002074,0.014274,1.005402,-840.000000,280.000000,0.000000
0.003782,0.013786,1.004426,-1120.000000,560.000000,0.000000
0.001098,0.013786,1.004914,-1120.000000,700.000000,0.000000
0.000244,0.014274,1.005158,-980.000000,700.000000,0.000000
0.001586,0.013542,1.005280,-700.000000,420.000000,-140.000000
0.001708,0.014274,1.004548,-560.000000,140.000000,-140.000000
0.001830,0.015128,1.006012,-700.000000,140.000000,0.000000
0.000610,0.013786,1.007964,-980.000000,280.000000,0.000000
0.002074,0.014518,1.006622,-1120.000000,420.000000,140.000000
0.000976,0.013420,1.006744,-980.000000,420.000000,140.000000
0.001830,0.013786,1.006988,-840.000000,280.000000,0.000000
0.001220,0.013664,1.005524,-840.000000,140.000000,-140.000000
-0.000122,0.012688,1.006012,-980.000000,0.000000,-140.000000
0.001098,0.013420,1.006256,-980.000000,0.000000,-140.000000
0.001586,0.013176,1.005402,-980.000000,0.000000,0.000000
-0.001830,0.012322,1.003206,-980.000000,140.000000,0.000000
0.001464,0.011712,1.004426,-700.000000,280.000000,0.000000
0.000976,0.012566,1.004670,-420.000000,420.000000,0.000000
-0.000366,0.012444,1.003938,-280.000000,560.000000,140.000000
0.001342,0.010492,1.002352,-560.000000,560.000000,140.000000
0.000854,0.011590,1.003084,-840.000000,420.000000,140.000000
0.001220,0.011102,1.004426,-1120.000000,280.000000,140.000000
0.000976,0.011102,1.003328,-980.000000,280.000000,0.000000
0.000366,0.011468,1.003572,-840.000000,280.000000,-140.000000
0.001586,0.012078,1.002840,-560.000000,280.000000,-280.000000
-0.000610,0.010858,1.005036,-420.000000,280.000000,-280.000000
-0.001220,0.010614,1.003572,-420.000000,280.000000,0.000000
-0.000122,0.010248,1.006256,-560.000000,420.000000,0.000000
-0.000610,0.009638,1.006988,-560.000000,560.000000,0.000000
0.000122,0.010492,1.008208,-560.000000,420.000000,0.000000
-0.001586,0.011224,1.007476,-560.000000,280.000000,-140.000000
-0.001220,0.010370,1.008208,-700.000000,0.000000,-140.000000
-0.001830,0.010370,1.007842,-700.000000,0.000000,0.000000
-0.001098,0.009638,1.005402,-700.000000,140.000000,0.000000
-0.002440,0.009760,1.007476,-700.000000,140.000000,0.000000
-0.002318,0.008784,1.004426,-840.000000,280.000000,-140.000000
-0.000854,0.010370,1.003450,-840.000000,140.000000,0.000000
-0.001586,0.008906,1.001742,-700.000000,0.000000,140.000000
-0.002318,0.009516,1.002596,-560.000000,0.000000,280.000000
-0.003416,0.008784,1.002108,-420.000000,-140.000000,140.000000
-0.002196,0.010370,1.000766,-420.000000,-140.000000,-140.000000
-0.003782,0.011468,1.002962,-560.000000,-140.000000,-280.000000
-0.002562,0.010980,1.002962,-840.000000,-140.000000,-280.000000
